RegionID,SizeRank,RegionName,RegionType,StateName,State,City,Metro,CountyName,BaseDate,2023-02-28,2023-04-30,2024-01-31
99227,14966,97368,zip,OR,OR,Otis,"Newport, OR",Lincoln County,2023-01-31,0.0,0.2,2.0
59522,14967,04474,zip,ME,ME,Orrington,"Bangor, ME",Penobscot County,2023-01-31,0.7,1.7,2.3
97170,14967,93235,zip,CA,CA,Visalia,"Visalia, CA",Tulare County,2023-01-31,-0.3,-0.8,-0.9
98266,14967,95542,zip,CA,CA,Redway,"Eureka-Arcata, CA",Humboldt County,2023-01-31,0.1,1.4,-1.0
81143,14970,53013,zip,WI,WI,Holland,"Sheboygan, WI",Sheboygan County,2023-01-31,0.6,1.1,0.4
96849,14971,92382,zip,CA,CA,Running Springs,"Riverside-San Bernardino-Ontario, CA",San Bernardino County,2023-01-31,-1.0,-2.9,-2.2
64734,14973,16743,zip,PA,PA,Port Allegany,"Bradford, PA",McKean County,2023-01-31,1.7,3.4,1.3
85864,14973,63019,zip,MO,MO,Crystal City,"St. Louis, MO-IL",Jefferson County,2023-01-31,0.5,1.0,0.3
89919,14975,73093,zip,OK,OK,,"Oklahoma City, OK",McClain County,2023-01-31,-0.6,-1.0,-1.6
78520,14977,47283,zip,IN,IN,Westport,"Greensburg, IN",Decatur County,2023-01-31,0.0,0.5,0.7
64207,14984,15636,zip,PA,PA,Harrison City,"Pittsburgh, PA",Westmoreland County,2023-01-31,0.3,1.2,-0.7
97288,14984,93461,zip,CA,CA,Shandon,"San Luis Obispo-Paso Robles, CA",San Luis Obispo County,2023-01-31,-0.4,-1.1,-2.2
78172,14986,46543,zip,IN,IN,Millersburg,"Elkhart-Goshen, IN",Elkhart County,2023-01-31,0.1,0.5,0.5
77755,14986,45686,zip,OH,OH,,"Point Pleasant, WV-OH",Gallia County,2023-01-31,0.3,1.1,1.8
62615,14988,12498,zip,NY,NY,Woodstock,"Kingston, NY",Ulster County,2023-01-31,0.0,0.3,2.3
73652,14988,35958,zip,AL,AL,Bryant,"Scottsboro, AL",Jackson County,2023-01-31,2.3,4.4,5.1
67828,14990,23841,zip,VA,VA,Dinwiddie,"Richmond, VA",Dinwiddie County,2023-01-31,-0.4,-0.8,-0.4
92895,14992,79311,zip,TX,TX,Abernathy,"Plainview, TX",Hale County,2023-01-31,-0.1,-0.3,-1.5
63755,14992,14821,zip,NY,NY,Campbell,"Corning, NY",Steuben County,2023-01-31,0.0,0.5,-0.2
86383,14994,64149,zip,MO,MO,Kansas City,"Kansas City, MO-KS",Jackson County,2023-01-31,-0.5,-0.8,-0.8
87198,14996,66512,zip,KS,KS,Meriden,"Topeka, KS",Jefferson County,2023-01-31,0.2,0.3,2.5
80213,14998,50212,zip,IA,IA,,"Ames, IA",Boone County,2023-01-31,-0.5,-0.9,-2.0
69646,14999,27976,zip,NC,NC,South Mills,"Virginia Beach-Norfolk-Newport News, VA-NC",Camden County,2023-01-31,0.7,1.2,0.2
72065,14999,32564,zip,FL,FL,Holt,"Crestview-Fort Walton Beach-Destin, FL",Okaloosa County,2023-01-31,-0.2,-0.7,1.8
60595,15001,07088,zip,NJ,NJ,Union,"New York-Newark-Jersey City, NY-NJ-PA",Union County,2023-01-31,1.1,2.1,0.3
82237,15001,55386,zip,MN,MN,Victoria,"Minneapolis-St. Paul-Bloomington, MN-WI",Carver County,2023-01-31,-0.3,-0.4,-1.5
89402,15001,72135,zip,AR,AR,Roland,"Little Rock-North Little Rock-Conway, AR",Pulaski County,2023-01-31,0.7,1.8,-0.6
89956,15001,73131,zip,OK,OK,Oklahoma City,"Oklahoma City, OK",Oklahoma County,2023-01-31,-0.5,-1.0,-1.2
