price,bed,bath,acre_lot,house_size,zip_code
250000.0,4.0,4.0,0.51,3060.0,00802
1500000.0,4.0,4.0,7.82,3060.0,00802
875000.0,4.0,4.0,1.2,3060.0,00802
160000.0,4.0,4.0,0.3,3060.0,00802
210000.0,4.0,4.0,0.88,3060.0,00802
200000.0,3.0,2.0,0.23,1150.0,00820
165000.0,4.0,3.0,0.29,2290.0,00820
240000.0,3.0,2.0,0.23,2290.0,00820
225000.0,3.0,2.0,1.79,2290.0,00820
625000.0,4.0,3.0,0.5,2759.0,00820
1595000.0,5.0,4.0,0.85,2290.0,00820
759000.0,6.0,4.0,1.01,4800.0,00820
320000.0,3.0,2.0,0.25,1100.0,00820
877000.0,4.0,4.0,0.48,4338.0,00820
55000.0,3.0,3.0,0.85,2290.0,00820
965000.0,3.0,3.0,0.42,1600.0,00820
125000.0,1.0,1.0,0.86,695.0,00820
390000.0,3.0,2.0,0.5,1300.0,00820
217000.0,1.0,1.0,0.86,1100.0,00820
375000.0,3.0,2.0,0.86,1515.0,00820
59500.0,3.0,3.0,0.57,2290.0,00820
59500.0,3.0,3.0,0.65,2290.0,00820
20000.0,3.0,3.0,0.47,2290.0,00820
70000.0,3.0,3.0,0.5,2290.0,00820
549000.0,3.0,3.0,0.61,1606.0,00820
999999.0,5.0,4.0,0.43,3190.0,00820
58000.0,3.0,3.0,0.6,2290.0,00820
599000.0,5.0,4.0,0.86,3200.0,00820
45000.0,3.0,3.0,0.61,2290.0,00820
610000.0,1.0,1.0,0.53,1200.0,00820
30000.0,3.0,3.0,0.27,2290.0,00820
397000.0,2.0,2.0,0.86,1250.0,00820
499000.0,3.0,3.0,6.0,2290.0,00820
415000.0,2.0,2.0,0.86,1400.0,00820
174900.0,3.0,3.0,0.07,2290.0,00820
1295000.0,2.0,2.0,0.54,3630.0,00820
199000.0,3.0,3.0,1.09,2290.0,00820
399000.0,2.0,2.0,0.86,1250.0,00820
249000.0,1.0,1.0,0.86,770.0,00820
215000.0,3.0,3.0,1.07,2290.0,00820
169000.0,3.0,3.0,0.63,2290.0,00820
225000.0,3.0,3.0,1.35,2290.0,00820
265000.0,3.0,3.0,1.1,2290.0,00820
419000.0,2.0,2.0,0.86,1250.0,00820
395000.0,2.0,2.0,0.86,860.0,00820
810000.0,3.0,2.0,0.86,1897.0,00820
199000.0,4.0,3.0,0.56,4500.0,00840
325000.0,3.0,2.0,0.7,2000.0,00840
225000.0,4.0,1.0,0.12,1800.0,00850
375000.0,2.0,2.0,0.76,1500.0,00850
999999.0,3.0,3.0,0.67,4500.0,00840
1695000.0,4.0,4.0,0.96,6100.0,00840
1595000.0,4.0,3.0,0.39,4578.0,00840
36000.0,4.0,3.0,0.23,4500.0,00840
465000.0,4.0,3.0,5.94,4500.0,00840
225000.0,1.0,1.0,0.73,900.0,00802
79000.0,4.0,4.0,0.87,3060.0,00802
70000.0,4.0,4.0,0.33,3060.0,00802
85000.0,4.0,4.0,0.24,3060.0,00802
360000.0,4.0,4.0,0.23,4400.0,00830
125000.0,4.0,4.0,0.6,3060.0,00802
540000.0,4.0,4.0,0.6,4400.0,00830
350000.0,4.0,4.0,0.99,4400.0,00830
159000.0,4.0,4.0,0.29,4400.0,00830
